City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Caxito,75,AO,1612480190,78,-8.5785,13.6643,80.6,6.91
1,Tuktoyaktuk,75,CA,1612480134,67,69.4541,-133.0374,-34.6,11.5
2,Bredasdorp,90,ZA,1612480190,77,-34.5322,20.0403,68.0,5.75
3,Mar del Plata,40,AR,1612480186,77,-38.0023,-57.5575,64.99,10.36
4,Atuona,25,PF,1612480190,71,-9.8,-139.0333,78.58,10.98
5,Rikitea,97,PF,1612480043,68,-23.1203,-134.9692,78.85,10.94
6,Albany,20,US,1612480092,55,42.6001,-73.9662,35.6,4.61
7,Hamilton,90,US,1612480184,69,39.1834,-84.5333,37.0,20.71
8,Van,75,TR,1612480191,93,38.4924,43.3831,35.6,1.14
9,New Norfolk,75,AU,1612479952,62,-42.7826,147.0587,72.0,1.01
10,Carnarvon,100,AU,1612479993,82,-24.8667,113.6333,78.42,21.94
11,Puerto Ayora,0,EC,1612480191,62,-0.7393,-90.3518,86.0,12.66
12,Kapaa,75,US,1612479949,56,22.0752,-159.319,71.6,9.22
13,Hualmay,93,PE,1612479953,72,-11.0964,-77.6139,72.59,5.97
14,Airai,100,TL,1612480158,100,-8.9266,125.4092,63.01,3.91
15,Saldanha,0,ZA,1612480191,82,-33.0117,17.9442,62.6,8.05
16,Sinazongwe,55,ZM,1612480192,80,-17.2614,27.4618,76.08,1.3
17,Rangpur City,0,BD,1612480192,52,25.75,89.25,62.01,2.73
18,Killybegs,99,IE,1612480192,95,54.6333,-8.45,39.99,7.0
19,Punta Arenas,0,CL,1612480039,47,-53.15,-70.9167,55.4,26.46
20,Aklavik,20,CA,1612480192,66,68.2191,-135.0107,-41.8,3.44
21,Cockburn Town,0,TC,1612480192,67,21.4612,-71.1419,74.07,15.01
22,Hofn,100,IS,1612480192,80,64.2539,-15.2082,35.83,15.79
23,Provideniya,100,RU,1612480192,88,64.3833,-173.3,-7.55,27.54
24,Tateyama,1,JP,1612480193,48,34.9833,139.8667,42.01,3.0
25,Suslovo,100,RU,1612480193,95,56.2167,88.1167,4.66,7.76
